銘柄名,日付,終値,vol_ratio_3_7,vol_ratio_5_5,vol_ratio_5_10,vol_ratio_7_7,vol_ratio_7_14,vol_ratio_10_10,price_vs_ma25,price_vs_ma75,ma5_gt_ma25,max_daily_ret_5d,cum_ret_5d,bw_recent,bw_prior,bw_expanding,bw_prior_percentile,slope_25
サンリオ,2024-07-29,635.8,1.880603448275862,1.44928807048311,1.439102763438854,1.27414801664678,0.9609209529975967,0.869870834754497,1.0250407888203164,1.1391407173827355,True,0.06410041841004177,-0.017006802721088454,0.19510917283032955,0.23582602169320252,False,0.43333333333333335,13.655999999999949
サンリオ,2024-07-30,634.4,1.2343250966549,1.5306624494816377,1.467641050481225,1.245758041592946,0.9836703845361061,0.8804523918691731,1.0183377850832134,1.1353847255199074,False,0.06410041841004177,-0.020987654320987703,0.18091217180571567,0.2320840326107687,False,0.25,12.615999999999985
サンリオ,2024-07-31,643.2,0.9555457025648401,1.6296221775095014,1.5488058813530512,1.36718037570673,1.0690601825442099,0.9472204997704889,1.0276336307165317,1.149469109209097,False,0.06410041841004177,0.011638880150991016,0.16649041741074147,0.22593941287429323,False,0.2,12.100000000000023
サンリオ,2024-08-01,612.0,1.3146951112735357,1.4415551988585698,1.5585507414049093,1.7053864529552285,1.3836506299040296,1.2599676029893605,0.9757653061224489,1.0929508243563735,False,0.06410041841004177,0.002621231979030192,0.15253521013375587,0.2178264194855429,False,0.1,11.231999999999971
バイセル,2024-08-15,1112.5,1.458439509768232,1.146153846153846,1.3182195189383468,1.358662613981763,0.929590017825312,0.8510962821734985,1.1309158334316003,1.2343756703538284,False,0.18666666666666676,0.27142857142857135,0.3073891422267353,0.2500089780842686,True,0.48333333333333334,-14.05600000000004
バイセル,2024-08-16,1287.5,3.823064211520302,2.4801494628678187,3.129973474801061,2.3896260554885407,1.6890720477476195,1.6888032638259294,1.2981238455519977,1.416026079076029,True,0.18666666666666676,0.42061127661922115,0.32290658883020473,0.27220301294364446,True,0.5,-1.20799999999997
バイセル,2024-08-19,1235.0,3.355279269096732,3.4065372829417773,3.875653689715282,2.8570872274143304,2.3637242268041234,2.11990171990172,1.2367116088666716,1.3475353741674743,True,0.18666666666666676,0.30000000000000004,0.345932492505302,0.29069906253290645,True,0.5333333333333333,8.543999999999869
バイセル,2024-08-20,1280.0,4.541387024608501,4.199661590524535,4.1412680756396,3.1014879816863794,2.849281458114266,2.350586435492096,1.2731048640562712,1.3849356509846749,True,0.18666666666666676,0.3094629156010231,0.3787666437167594,0.30053899947283325,True,0.48333333333333334,18.895999999999958
バイセル,2024-08-21,1260.0,1.4252061248527679,2.7748422712933754,3.1109637488947834,3.1372406261376042,3.2313460817397823,2.410727776378746,1.245039604116931,1.352057058238606,True,0.18666666666666676,0.3440000000000001,0.41871202739739866,0.30459432165499545,True,0.48333333333333334,30.448000000000093
バイセル,2024-08-22,1345.0,0.8379900958611604,3.1828859060402683,3.399641577060932,3.1671388101983,3.3833932286741057,2.7569809234171965,1.3173823954615442,1.429984959464268,True,0.1573033707865168,0.20898876404494393,0.4668544388424675,0.3073891422267353,True,0.5833333333333334,37.24800000000005
バイセル,2024-08-23,1342.5,0.5691967031615205,0.9043314500941619,1.2889545027513085,2.319581802769144,2.7993179880647907,2.9802534630120836,1.2978387721720166,1.4145198043309068,True,0.06746031746031744,0.042718446601941684,0.5093515299776141,0.32290658883020473,True,0.8666666666666667,42.59600000000012
FFRI,2025-03-11,2689.0,0.4627184985291615,0.6549153908138597,0.9379688401615696,2.3792845640671727,1.9725367725939875,1.6089440182797454,0.9815874777326753,1.1795308195743337,True,0.009836065573770592,-0.11836065573770493,0.2473688471653089,0.23344092078458628,True,0.45,71.55999999999995
FFRI,2025-03-12,2640.0,0.34065038721058083,0.38298298871642134,0.5708858057630737,2.4269549763033176,2.026965513829103,1.570439024390244,0.961622519451001,1.1530599765893883,True,-0.01822238750464855,-0.1428571428571429,0.2426995970327399,0.23469671328585937,True,0.48333333333333334,52.16000000000031
FFRI,2025-03-13,2745.0,0.3391534014977186,0.3195583251339237,0.4848836727076681,0.6668692657231339,0.793545831826557,1.6123430403419716,0.9968188948928011,1.1929664955323513,False,0.03977272727272729,-0.07606866374957921,0.23592770062563367,0.23836444561860307,False,0.48333333333333334,40.52000000000044
FFRI,2025-03-14,3025.0,0.4981831073296109,0.3685903552054085,0.5477526382952865,0.5252202977818293,0.6607836890729533,1.6177617375052364,1.0904516091821432,1.3059959244292476,True,0.10200364298724951,0.058802940147007376,0.22971005257892077,0.2420355546170046,False,0.43333333333333335,48.440000000000055
FFRI,2025-03-17,3060.0,0.5808414903052049,0.3861721438053697,0.5840726095597123,0.481827243332604,0.6169626597350849,1.8463786943812925,1.0985066053991959,1.311915854460228,True,0.10200364298724951,0.10389610389610393,0.22757921398712716,0.246654081319808,False,0.4,50.59999999999991
FFRI,2025-03-18,3400.0,1.9239037657509077,1.1551830206090434,0.9143031040779063,0.645981157597475,0.8707097847295525,1.0107472590882862,1.2092414499516304,1.4449966283412006,True,0.11111111111111116,0.26441056154704357,0.23716098514355216,0.2473688471653089,False,0.38333333333333336,72.23999999999978
FFRI,2025-03-19,3620.0,2.5526950149455208,2.2478875345846108,1.244993891201259,0.8093611368111403,1.166273544593717,0.9270864461045891,1.2701397855498793,1.523586123301047,True,0.11111111111111116,0.3712121212121211,0.26261932336814686,0.2426995970327399,True,0.31666666666666665,104.7199999999998
